Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,62140.0,92454,91485,87961,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,10651.0,16213,23912,28028,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,2106.0,3188,1755,1500,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Nuclear,1651.0,2983,2983,2983,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,4506.0,0,0,0,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,4255.0,4944,4771,4554,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,1499.0,14411,30426,43653,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,4.0,1270,6392,14984,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,451.0,451,451,451,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,13271,38657,67189,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,0.0,903,2004,3733,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,63958.0,95534,107591,107427,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Gás Natural,10475.0,18468,27643,35649,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Carvão,2380.0,2635,1771,1771,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Nuclear,1651.0,2983,2983,2983,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Óleos Comb,3820.0,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Biomassa,3951.0,6644,8001,8377,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Eólica,573.0,11014,19779,37497,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Solar,3.0,1385,7517,7517,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Outros,451.0,451,451,451,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Pot. Compl.,0.0,10071,25095,49629,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
GD,0.0,903,2004,3733,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Hidro,65467.0,96124,106464,102959,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Gás Natural,9628.0,6559,1494,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Carvão,1566.0,1688,255,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Nuclear,1813.0,3144,3144,3144,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Óleos Comb,2478.0,0,0,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Biomassa,4264.0,14470,14297,13948,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Eólica,1592.0,14487,31345,44442,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Solar,4.0,434,943,9535,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Outros,451.0,451,0,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Pot. Compl.,0.0,11828,42891,77275,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
GD,0.0,903,2004,3733,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Hidro,65587.0,88969,90431,91884,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Gás Natural,9113.0,14619,23014,27410,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Carvão,2106.0,1688,255,0,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Nuclear,1651.0,11720,19586,19586,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,3553.0,0,0,0,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Biomassa,4041.0,5116,4942,4725,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Eólica,760.0,12548,25664,38030,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Solar,2.0,434,2582,11173,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Outros,451.0,451,451,451,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0.0,13640,33907,58043,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
GD,0.0,903,2004,3733,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Hidro,63243.0,93968,95021,97164,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,10172.0,17343,48201,71385,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,1840.0,1688,255,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1651.0,2983,2983,2983,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,4382.0,0,0,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4221.0,8970,9735,9518,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,1300.0,9865,10275,14321,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,3.0,2422,5588,9588,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,451.0,451,451,451,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,11495,28323,45892,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,0.0,903,2004,3733,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,62140.0,92532,92472,85811,29. GN Pré-Sal ao preço de US$ 6MMBtu
Gás Natural,10651.0,17935,19941,22533,29. GN Pré-Sal ao preço de US$ 6MMBtu
Carvão,2106.0,1688,255,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
Nuclear,1651.0,2983,2983,2983,29. GN Pré-Sal ao preço de US$ 6MMBtu
Óleos Comb,4506.0,0,0,0,29. GN Pré-Sal ao preço de US$ 6MMBtu
Biomassa,4255.0,4944,4771,4554,29. GN Pré-Sal ao preço de US$ 6MMBtu
Eólica,1499.0,14912,32267,46448,29. GN Pré-Sal ao preço de US$ 6MMBtu
Solar,4.0,1270,7416,16007,29. GN Pré-Sal ao preço de US$ 6MMBtu
Outros,451.0,451,451,451,29. GN Pré-Sal ao preço de US$ 6MMBtu
Pot. Compl.,0.0,12469,40277,72516,29. GN Pré-Sal ao preço de US$ 6MMBtu
GD,0.0,903,2004,3733,29. GN Pré-Sal ao preço de US$ 6MMBtu
Hidro,63352.0,95488,100914,96621,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Gás Natural,9970.0,20228,29536,30779,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Carvão,2380.0,1688,255,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Nuclear,1651.0,2983,2983,2983,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Óleos Comb,4082.0,0,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Biomassa,4039.0,8922,9573,3979,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Eólica,1333.0,9548,9214,14003,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Solar,4.0,434,15905,26391,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Outros,451.0,451,0,0,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Pot. Compl.,0.0,9444,32452,76547,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
GD,0.0,903,2004,3733,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Hidro,63958.0,95534,107591,107427,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Gás Natural,10475.0,18468,27643,35649,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Carvão,2380.0,2635,1771,1771,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Nuclear,1651.0,2983,2983,2983,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Óleos Comb,3820.0,0,0,0,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Biomassa,3951.0,6644,8001,8377,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Eólica,573.0,11014,19779,37497,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Solar,3.0,1385,7517,7517,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Outros,451.0,451,451,451,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Pot. Compl.,0.0,10071,25095,49629,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
GD,0.0,903,2004,3733,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Hidro,63293.0,96651,97729,95584,08. Repotenciaç╞o de UHE
Gás Natural,10146.0,16580,24279,29325,08. Repotenciaç╞o de UHE
Carvão,1637.0,1688,255,0,08. Repotenciaç╞o de UHE
Nuclear,1651.0,2983,2983,2983,08. Repotenciaç╞o de UHE
Óleos Comb,4471.0,0,0,0,08. Repotenciaç╞o de UHE
Biomassa,4202.0,4966,4792,4576,08. Repotenciaç╞o de UHE
Eólica,1407.0,14283,30812,43744,08. Repotenciaç╞o de UHE
Solar,4.0,434,4601,13192,08. Repotenciaç╞o de UHE
Outros,451.0,451,451,451,08. Repotenciaç╞o de UHE
Pot. Compl.,0.0,11150,34930,61447,08. Repotenciaç╞o de UHE
GD,0.0,903,2004,3733,08. Repotenciaç╞o de UHE
Hidro,65587.0,92390,92210,89063,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Gás Natural,9113.0,15057,23632,27083,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Carvão,2106.0,1688,255,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Nuclear,1651.0,8830,8830,8830,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,3553.0,0,0,0,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Biomassa,4041.0,5117,4944,4727,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Eólica,760.0,12788,28297,41632,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Solar,2.0,737,5942,14533,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Outros,451.0,451,451,451,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0.0,12127,36272,64983,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
GD,0.0,903,2004,3733,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Hidro,65137.0,89764,90004,81489,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Gás Natural,9449.0,22502,25123,22978,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Carvão,2380.0,1688,255,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Nuclear,1651.0,2983,2983,2983,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Óleos Comb,3438.0,0,0,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Biomassa,4019.0,14511,14337,14120,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Eólica,734.0,16003,31578,50637,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Solar,3.0,1284,8434,17026,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Outros,451.0,451,451,451,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Pot. Compl.,0.0,0,27667,61618,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
GD,0.0,903,2004,3733,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Hidro,63352.0,93859,105043,105814,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,9970.0,15124,22577,23180,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,2380.0,3188,1755,1500,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Nuclear,1651.0,2983,2983,2983,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,4082.0,0,0,0,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,4039.0,8574,8400,8184,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,1333.0,12077,29187,40798,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,4.0,434,943,7604,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,451.0,451,451,451,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,12495,29493,60788,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,0.0,903,2004,3733,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,64004.0,93444,111512,111635,43. Repotenciaç╞o de UHE
Gás Natural,9817.0,16146,23158,23392,43. Repotenciaç╞o de UHE
Carvão,2380.0,1688,255,0,43. Repotenciaç╞o de UHE
Nuclear,1651.0,2983,2983,2983,43. Repotenciaç╞o de UHE
Óleos Comb,3810.0,0,0,0,43. Repotenciaç╞o de UHE
Biomassa,4094.0,8825,8651,8434,43. Repotenciaç╞o de UHE
Eólica,1054.0,12268,27387,39417,43. Repotenciaç╞o de UHE
Solar,2.0,434,943,7689,43. Repotenciaç╞o de UHE
Outros,451.0,451,451,451,43. Repotenciaç╞o de UHE
Pot. Compl.,0.0,12946,25491,57300,43. Repotenciaç╞o de UHE
GD,0.0,903,2004,3733,43. Repotenciaç╞o de UHE
Hidro,63306.0,93102,105243,105695,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Gás Natural,10475.0,16146,24035,24638,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Carvão,2380.0,1688,255,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Nuclear,1813.0,3144,3144,3144,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Óleos Comb,3623.0,0,0,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Biomassa,4009.0,8668,8494,8277,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Eólica,1203.0,12784,29451,40715,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Solar,4.0,434,943,7841,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Outros,451.0,451,451,451,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,12769,28815,60541,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
GD,0.0,903,2004,3733,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Hidro,63958.0,95534,107591,107427,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,10475.0,18468,27643,35649,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,2380.0,2635,1771,1771,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1651.0,2983,2983,2983,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,3820.0,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,3951.0,6644,8001,8377,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,573.0,11014,19779,37497,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,3.0,1385,7517,7517,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,451.0,451,451,451,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0.0,10071,25095,49629,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,0.0,451,1002,1866,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,63306.0,93102,105243,105875,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Gás Natural,10475.0,16146,24035,24458,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Carvão,2380.0,1688,255,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Nuclear,1813.0,3144,3144,3144,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Óleos Comb,3623.0,0,0,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Biomassa,4009.0,8668,8494,8277,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Eólica,1203.0,12784,29451,40715,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Solar,4.0,434,943,7841,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Outros,451.0,451,451,451,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,12769,28815,60541,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
GD,0.0,903,2004,3733,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Hidro,65331.0,93740,95866,95936,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,9804.0,18511,31171,39167,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,2106.0,2635,1551,1551,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1651.0,2983,2983,2983,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,3339.0,0,0,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,3985.0,6644,8001,9008,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,593.0,11506,21322,38024,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,2.0,1385,8559,8559,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,451.0,451,451,451,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,11330,30929,55623,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,0.0,903,2004,3733,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,63352.0,95080,106589,107848,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,9970.0,15799,23337,25504,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,2380.0,1688,255,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1651.0,2983,2983,2983,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,4082.0,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4039.0,7275,7102,6885,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,1333.0,13174,30439,43669,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,4.0,434,930,4930,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,451.0,451,451,451,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,12301,28746,59031,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,0.0,903,2004,3733,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,63695.0,95448,93174,94709,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,10651.0,19183,33889,39177,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,2108.0,2635,1821,1551,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1651.0,2983,2983,2983,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,4156.0,0,0,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,4211.0,6644,7865,7648,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,337.0,8006,20916,37033,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,3.0,1385,11431,17481,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,451.0,451,451,451,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,12450,28302,50268,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,0.0,903,2004,3733,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,63958.0,95534,107591,107427,42. Sobrecusto de 100 por cento no CAPEX de PCH
Gás Natural,10475.0,18468,27643,35649,42. Sobrecusto de 100 por cento no CAPEX de PCH
Carvão,2380.0,2635,1771,1771,42. Sobrecusto de 100 por cento no CAPEX de PCH
Nuclear,1651.0,2983,2983,2983,42. Sobrecusto de 100 por cento no CAPEX de PCH
Óleos Comb,3820.0,0,0,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
Biomassa,3951.0,6644,8001,8377,42. Sobrecusto de 100 por cento no CAPEX de PCH
Eólica,573.0,11014,19779,37497,42. Sobrecusto de 100 por cento no CAPEX de PCH
Solar,3.0,1385,7517,7517,42. Sobrecusto de 100 por cento no CAPEX de PCH
Outros,451.0,451,451,451,42. Sobrecusto de 100 por cento no CAPEX de PCH
Pot. Compl.,0.0,10071,25095,49629,42. Sobrecusto de 100 por cento no CAPEX de PCH
GD,0.0,903,2004,3733,42. Sobrecusto de 100 por cento no CAPEX de PCH
Hidro,63958.0,95534,107591,107427,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,10475.0,18468,27643,35649,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,2380.0,2635,1771,1771,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1651.0,2983,2983,2983,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,3820.0,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,3951.0,6644,8001,8377,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,573.0,11014,19779,37497,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,3.0,1385,7517,7517,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,451.0,451,451,451,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0.0,10071,25095,49629,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,0.0,903,2004,3733,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,64463.0,82430,86840,87234,36. Estagnaç╞o
Gás Natural,10146.0,6921,7372,7022,36. Estagnaç╞o
