regiao,prod_etanol_anidro_hidr,ano
Região Norte,7,2013
Região Norte,13,2014
Região Norte,13,2015
Região Norte,9,2016
Região Norte,5,2017
Região Norte,1,2018
Região Norte,5,2019
Região Norte,0,2020
Região Norte,0,2021
Região Norte,0,2022
Região Norte,5,2013
Região Norte,0,2014
Região Norte,5,2015
Região Norte,4,2016
Região Norte,0,2017
Região Norte,0,2018
Região Norte,0,2019
Região Norte,0,2020
Região Norte,0,2021
Região Norte,0,2022
Região Norte,5,2013
Região Norte,3,2014
Região Norte,6,2015
Região Norte,6,2016
Região Norte,5,2017
Região Norte,5,2018
Região Norte,9,2019
Região Norte,9,2020
Região Norte,6,2021
Região Norte,6,2022
Região Norte,37,2013
Região Norte,42,2014
Região Norte,41,2015
Região Norte,33,2016
Região Norte,52,2017
Região Norte,43,2018
Região Norte,61,2019
Região Norte,50,2020
Região Norte,55,2021
Região Norte,54,2022
Região Norte,184,2013
Região Norte,181,2014
Região Norte,190,2015
Região Norte,162,2016
Região Norte,176,2017
Região Norte,155,2018
Região Norte,166,2019
Região Norte,175,2020
Região Norte,195,2021
Região Norte,210,2022
Região Nordeste,168,2013
Região Nordeste,179,2014
Região Nordeste,187,2015
Região Nordeste,128,2016
Região Nordeste,163,2017
Região Nordeste,148,2018
Região Nordeste,168,2019
Região Nordeste,175,2020
Região Nordeste,164,2021
Região Nordeste,159,2022
Região Nordeste,32,2013
Região Nordeste,33,2014
Região Nordeste,33,2015
Região Nordeste,22,2016
Região Nordeste,20,2017
Região Nordeste,37,2018
Região Nordeste,46,2019
Região Nordeste,39,2020
Região Nordeste,44,2021
Região Nordeste,45,2022
Região Nordeste,9,2013
Região Nordeste,9,2014
Região Nordeste,15,2015
Região Nordeste,5,2016
Região Nordeste,0,2017
Região Nordeste,0,2018
Região Nordeste,0,2019
Região Nordeste,0,2020
Região Nordeste,0,2021
Região Nordeste,0,2022
Região Nordeste,56,2013
Região Nordeste,73,2014
Região Nordeste,98,2015
Região Nordeste,75,2016
Região Nordeste,66,2017
Região Nordeste,115,2018
Região Nordeste,110,2019
Região Nordeste,118,2020
Região Nordeste,102,2021
Região Nordeste,92,2022
Região Nordeste,287,2013
Região Nordeste,376,2014
Região Nordeste,447,2015
Região Nordeste,360,2016
Região Nordeste,330,2017
Região Nordeste,431,2018
Região Nordeste,359,2019
Região Nordeste,396,2020
Região Nordeste,363,2021
Região Nordeste,362,2022
Região Nordeste,249,2013
Região Nordeste,336,2014
Região Nordeste,443,2015
Região Nordeste,348,2016
Região Nordeste,279,2017
Região Nordeste,466,2018
Região Nordeste,368,2019
Região Nordeste,395,2020
Região Nordeste,321,2021
Região Nordeste,309,2022
Região Nordeste,458,2013
Região Nordeste,485,2014
Região Nordeste,555,2015
Região Nordeste,366,2016
Região Nordeste,312,2017
Região Nordeste,464,2018
Região Nordeste,503,2019
Região Nordeste,426,2020
Região Nordeste,424,2021
Região Nordeste,385,2022
Região Nordeste,99,2013
Região Nordeste,112,2014
Região Nordeste,170,2015
Região Nordeste,76,2016
Região Nordeste,64,2017
Região Nordeste,104,2018
Região Nordeste,102,2019
Região Nordeste,97,2020
Região Nordeste,113,2021
Região Nordeste,79,2022
Região Nordeste,175,2013
Região Nordeste,240,2014
Região Nordeste,222,2015
Região Nordeste,126,2016
Região Nordeste,181,2017
Região Nordeste,246,2018
Região Nordeste,249,2019
Região Nordeste,274,2020
Região Nordeste,312,2021
Região Nordeste,335,2022
Região Sudeste,2809,2013
Região Sudeste,2676,2014
Região Sudeste,3203,2015
Região Sudeste,2699,2016
Região Sudeste,2705,2017
Região Sudeste,3258,2018
Região Sudeste,3579,2019
Região Sudeste,3075,2020
Região Sudeste,2839,2021
Região Sudeste,2895,2022
Região Sudeste,181,2013
Região Sudeste,162,2014
Região Sudeste,179,2015
Região Sudeste,75,2016
Região Sudeste,91,2017
Região Sudeste,128,2018
Região Sudeste,121,2019
Região Sudeste,90,2020
Região Sudeste,94,2021
Região Sudeste,104,2022
Região Sudeste,86,2013
Região Sudeste,88,2014
Região Sudeste,58,2015
Região Sudeste,95,2016
Região Sudeste,54,2017
Região Sudeste,97,2018
Região Sudeste,92,2019
Região Sudeste,140,2020
Região Sudeste,126,2021
Região Sudeste,110,2022
Região Sudeste,13922,2013
Região Sudeste,13871,2014
Região Sudeste,13830,2015
Região Sudeste,14232,2016
Região Sudeste,13839,2017
Região Sudeste,16203,2018
Região Sudeste,16668,2019
Região Sudeste,14648,2020
Região Sudeste,12084,2021
Região Sudeste,11998,2022
Região Sul,1466,2013
Região Sul,1579,2014
Região Sul,1462,2015
Região Sul,1474,2016
Região Sul,1291,2017
Região Sul,1624,2018
Região Sul,1665,2019
Região Sul,1264,2020
Região Sul,1194,2021
Região Sul,1088,2022
Região Sul,5,2013
Região Sul,4,2014
Região Sul,4,2015
Região Sul,3,2016
Região Sul,2,2017
Região Sul,2,2018
Região Sul,2,2019
Região Sul,0,2020
Região Sul,0,2021
Região Sul,0,2022
Região Centro-Oeste,2218,2013
Região Centro-Oeste,2350,2014
Região Centro-Oeste,2712,2015
Região Centro-Oeste,2600,2016
Região Centro-Oeste,2668,2017
Região Centro-Oeste,3264,2018
Região Centro-Oeste,3307,2019
Região Centro-Oeste,2877,2020
Região Centro-Oeste,2637,2021
Região Centro-Oeste,3077,2022
Região Centro-Oeste,1182,2013
Região Centro-Oeste,1132,2014
Região Centro-Oeste,1316,2015
Região Centro-Oeste,1212,2016
Região Centro-Oeste,1415,2017
Região Centro-Oeste,1757,2018
Região Centro-Oeste,2254,2019
Região Centro-Oeste,3124,2020
Região Centro-Oeste,3935,2021
Região Centro-Oeste,4310,2022
Região Centro-Oeste,3888,2013
Região Centro-Oeste,4269,2014
Região Centro-Oeste,4809,2015
Região Centro-Oeste,4584,2016
Região Centro-Oeste,4875,2017
Região Centro-Oeste,4491,2018
Região Centro-Oeste,5471,2019
Região Centro-Oeste,5318,2020
Região Centro-Oeste,4980,2021
Região Centro-Oeste,5129,2022
