CONTA,PRODUÇÃO,IMPORTAÇÃO,VARIAÇÃO DE ESTOQUES,EXPORTAÇÃO,NÃO-APROVEITADA,REINJEÇÃO,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,RESIDENCIAL,COMERCIAL,PÚBLICO,AGROPECUÁRIO,RODOVIÁRIO,FERROVIÁRIO,AÉREO,HIDROVIÁRIO,INDUSTRIAL - TOTAL,Ano
 BIODIESEL ,0,0,-23,0,0,0,0,0,0,0,0,327,2080,53,0,0,64,2014
 ÓLEO DIESEL ,0,9561,-180,-794,0,0,0,801,0,6,4,5833,37433,949,0,352,1140,2014
 ÓLEO COMBUSTÍVEL ,0,382,-54,-8110,0,0,0,311,0,21,11,24,0,0,0,996,2614,2014
 GASOLINA ,0,1626,501,-281,0,0,0,0,0,0,0,0,25682,0,58,0,0,2014
 GLP ,0,2277,-10,-11,0,0,0,5,6535,442,257,2,0,0,0,0,1121,2014
 NAFTA ,0,5238,-66,0,0,0,6195,0,0,0,0,0,0,0,0,0,0,2014
 QUEROSENE ,0,1236,-57,-2506,0,0,6,0,3,0,0,0,0,0,3651,0,2,2014
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,1200,2014
 COQUE DE CARVÃO MINERAL ,0,1254,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,7733,2014
 URÂNIO CONTIDO NO UO2,0,1022,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
 ELETRICIDADE,0,2905,0,0,0,0,0,3171,11378,7795,3685,2286,0,170,0,0,17806,2014
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,478,91,0,8,0,0,0,0,3716,2014
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,511,-848,-767,0,0,583,0,0,0,0,11,13008,0,0,0,0,2014
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2997,-1,-385,0,0,301,3985,0,0,0,0,0,0,0,0,7439,2014
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1133,5,-530,0,0,8095,0,0,0,0,0,0,0,0,0,0,2014
 ALCATRÃO ,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,92,2014
 PETRÓLEO ,104762,20373,-5,-20511,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 GÁS NATURAL ,27969,14926,0,0,-1294,-3810,836,4722,321,181,45,0,1647,0,0,0,9654,2013
 CARVÃO VAPOR ,3298,4206,-143,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,2013
 CARVÃO METALÚRGICO ,0,7838,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 URÂNIO U3O8 ,2375,601,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 ENERGIA HIDRÁULICA ,33625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 LENHA ,24788,0,0,0,0,0,0,0,5741,96,0,2639,0,0,0,0,7703,2013
 PRODUTOS DA CANA ,49306,0,0,0,0,0,0,12241,0,0,0,0,0,0,0,0,17238,2013
 OUTRAS FONTES PRIMÁRIAS ,12773,0,0,0,0,0,0,0,395,70,0,0,0,0,0,0,6359,2013
 BIODIESEL ,0,0,-26,0,0,0,0,0,0,0,0,275,1795,48,0,0,54,2013
 ÓLEO DIESEL ,0,8501,-130,-873,0,0,0,737,0,5,5,5594,37156,968,0,341,1096,2013
 ÓLEO COMBUSTÍVEL ,0,92,35,-8483,0,0,0,370,0,14,11,29,0,0,0,957,2677,2013
 GASOLINA ,0,1744,1032,-267,0,0,0,0,0,0,0,0,24393,0,58,0,0,2013
 GLP ,0,2060,4,-55,0,0,0,78,6521,420,257,12,0,0,0,0,1027,2013
 NAFTA ,0,5261,125,0,0,0,6565,0,0,0,0,0,0,0,0,0,0,2013
 QUEROSENE ,0,1467,34,-2383,0,0,8,0,4,0,0,0,0,0,3608,0,2,2013
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,1200,2013
 COQUE DE CARVÃO MINERAL ,0,1308,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7807,2013
 URÂNIO CONTIDO NO UO2,0,3334,-4253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
 ELETRICIDADE,0,3469,0,0,0,0,0,3147,10741,7258,3555,2046,0,162,0,0,18074,2013
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,402,90,0,8,0,0,0,0,3770,2013
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,68,-228,-1543,0,0,666,0,0,0,0,11,11889,0,0,0,0,2013
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2984,5,-352,0,0,339,3596,0,0,0,0,0,0,0,0,7610,2013
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1063,64,-350,0,0,7794,0,0,0,0,0,0,0,0,0,0,2013
 ALCATRÃO ,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,89,2013
 PETRÓLEO ,107258,17855,543,-27608,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 GÁS NATURAL ,25574,11602,0,0,-1430,-3147,898,4472,296,193,45,0,1709,0,0,0,9714,2012
 CARVÃO VAPOR ,2517,3313,108,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,2012
 CARVÃO METALÚRGICO ,0,7841,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 URÂNIO U3O8 ,3881,3854,-1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 ENERGIA HIDRÁULICA ,35719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 LENHA ,25683,0,0,0,0,0,0,0,6472,96,0,2421,0,0,0,0,7480,2012
 PRODUTOS DA CANA ,45117,0,0,0,0,0,0,10508,0,0,0,0,0,0,0,0,17868,2012
 OUTRAS FONTES PRIMÁRIAS ,11706,0,0,0,0,0,0,0,352,60,0,0,0,0,0,0,5944,2012
 BIODIESEL ,0,0,29,0,0,0,0,0,0,0,0,275,1696,48,0,0,49,2012
 ÓLEO DIESEL ,0,8241,320,-671,0,0,0,688,0,9,7,5595,34837,976,0,359,1005,2012
 ÓLEO COMBUSTÍVEL ,0,217,73,-8711,0,0,0,374,0,19,8,21,0,0,0,938,2633,2012
 GASOLINA ,0,2915,1010,-116,0,0,0,0,0,0,0,0,24454,0,58,0,0,2012
 GLP ,0,1744,-60,-19,0,0,0,0,6393,438,256,11,0,0,0,0,924,2012
 NAFTA ,0,5380,57,0,0,0,7424,0,0,0,0,0,0,0,0,0,0,2012
 QUEROSENE ,0,1538,22,-2256,0,0,15,0,5,0,0,0,0,0,3762,0,3,2012
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,1237,2012
 COQUE DE CARVÃO MINERAL ,0,1098,226,0,0,0,0,0,0,0,0,0,0,0,0,0,7999,2012
 URÂNIO CONTIDO NO UO2,0,6522,-8923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
 ELETRICIDADE,0,3502,0,-40,0,0,0,2734,10118,6863,3424,2001,0,162,0,0,18027,2012
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,478,90,0,7,0,0,0,0,4022,2012
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,291,-250,-1602,0,0,606,0,0,0,0,10,9906,0,0,0,0,2012
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2933,-24,-278,0,0,405,3104,0,0,0,0,0,0,0,0,7644,2012
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1027,-31,-241,0,0,7400,0,0,0,0,0,0,0,0,0,0,2012
 ALCATRÃO ,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,99,2012
 PETRÓLEO ,108976,17140,-758,-31221,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 GÁS NATURAL ,23888,9223,0,0,-1666,-3725,897,4671,280,188,44,0,1735,0,0,0,9888,2011
 CARVÃO VAPOR ,2134,3547,-148,-40,0,0,0,0,0,0,0,0,0,0,0,0,3715,2011
 CARVÃO METALÚRGICO ,0,8659,-237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 URÂNIO U3O8 ,4209,966,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 ENERGIA HIDRÁULICA ,36837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 LENHA ,25997,0,0,0,0,0,0,0,6505,95,0,2446,0,0,0,0,7358,2011
 PRODUTOS DA CANA ,43270,0,0,0,0,0,0,10411,0,0,0,0,0,0,0,0,16901,2011
 OUTRAS FONTES PRIMÁRIAS ,11497,0,0,0,0,0,0,0,315,51,0,0,0,0,0,0,6105,2011
 BIODIESEL ,0,0,-100,0,0,0,0,0,0,0,0,264,1573,47,0,0,47,2011
 ÓLEO DIESEL ,0,7914,-232,-941,0,0,0,945,0,8,4,5379,32904,952,0,339,951,2011
 ÓLEO COMBUSTÍVEL ,0,679,-26,-8901,0,0,0,519,0,19,6,17,0,0,0,983,2885,2011
 GASOLINA ,0,1689,112,-249,0,0,0,0,0,0,0,0,20838,0,54,0,0,2011
 GLP ,0,2071,-7,-26,0,0,0,14,6364,352,421,12,0,0,0,0,837,2011
 NAFTA ,0,5454,24,0,0,0,7386,0,0,0,0,0,0,0,0,0,0,2011
 QUEROSENE ,0,1482,-76,-2168,0,0,17,0,5,0,0,0,0,0,3569,0,3,2011
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,1288,2011
 COQUE DE CARVÃO MINERAL ,0,1478,57,0,0,0,0,0,0,0,0,0,0,0,0,0,8209,2011
 URÂNIO CONTIDO NO UO2,0,2321,-5196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
 ELETRICIDADE,0,3305,0,-219,0,0,0,2083,9629,6369,3283,1846,0,146,0,0,18008,2011
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,483,92,0,7,0,0,0,0,4220,2011
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,601,-77,-1017,0,0,545,0,0,0,0,9,10735,0,0,0,0,2011
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3469,-21,-237,0,0,342,3325,0,0,0,0,0,0,0,0,7707,2011
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1062,-7,-428,0,0,7530,0,0,0,0,0,0,0,0,0,0,2011
 ALCATRÃO ,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,103,2011
 PETRÓLEO ,106559,17516,1185,-32651,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 GÁS NATURAL ,22771,11130,0,0,-2365,-4000,1453,4192,255,202,60,2,1767,0,0,0,8957,2010
 CARVÃO VAPOR ,2104,2895,141,0,0,0,0,5,0,0,0,0,0,0,0,0,3233,2010
 CARVÃO METALÚRGICO ,0,7972,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 URÂNIO U3O8 ,1767,1419,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 ENERGIA HIDRÁULICA ,34683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 LENHA ,25997,0,0,0,0,0,0,0,7276,89,0,2523,0,0,0,0,7164,2010
 PRODUTOS DA CANA ,48852,0,0,0,0,0,0,12777,0,0,0,0,0,0,0,0,17289,2010
 OUTRAS FONTES PRIMÁRIAS ,10707,0,0,0,0,0,0,0,282,44,0,0,0,0,0,0,6049,2010
 BIODIESEL ,0,0,0,0,0,0,0,0,0,2,1,267,1450,46,0,0,34,2010
 ÓLEO DIESEL ,0,7638,8,-1310,0,0,0,908,0,34,11,5486,31086,943,0,415,689,2010
 ÓLEO COMBUSTÍVEL ,0,154,-11,-7966,0,0,0,631,0,25,3,79,0,0,0,966,3236,2010
 GASOLINA ,0,394,-65,-595,0,0,0,0,0,0,0,0,17525,0,53,0,0,2010
 GLP ,0,1908,35,-5,0,0,0,15,6298,298,381,8,0,0,0,0,702,2010
 NAFTA ,0,5136,-87,0,0,0,7601,0,0,0,0,0,0,0,0,0,0,2010
 QUEROSENE ,0,1581,-11,-1977,0,0,7,0,4,0,0,0,0,0,3188,0,3,2010
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,1250,2010
 COQUE DE CARVÃO MINERAL ,0,1243,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,7516,2010
 URÂNIO CONTIDO NO UO2,0,3527,-4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
 ELETRICIDADE,0,3088,0,-108,0,0,0,2308,9220,5996,3180,1629,0,143,0,0,17488,2010
 CARVÃO VEGETAL ,0,1,0,0,0,0,0,0,509,86,0,8,0,0,0,0,4045,2010
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,39,-806,-984,0,0,587,0,0,0,0,8,12033,0,0,0,0,2010
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3384,-8,-157,0,0,98,3561,0,0,0,0,0,0,0,0,7505,2010
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1723,-175,-489,0,0,7797,0,0,0,0,0,0,0,0,0,0,2010
 ALCATRÃO ,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,95,2010
 PETRÓLEO ,100918,19346,-1111,-27117,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 GÁS NATURAL ,20983,7362,0,0,-3013,-4002,717,4994,238,190,59,2,1853,0,0,0,7254,2009
 CARVÃO VAPOR ,1913,1999,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2403,2009
 CARVÃO METALÚRGICO ,167,6627,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 URÂNIO U3O8 ,4117,30,-277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 ENERGIA HIDRÁULICA ,33625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 LENHA ,24609,0,0,0,0,0,0,0,7529,80,0,2411,0,0,0,0,6563,2009
 PRODUTOS DA CANA ,44775,0,0,0,0,0,0,12258,0,0,0,0,0,0,0,0,16187,2009
 OUTRAS FONTES PRIMÁRIAS ,9605,0,0,0,0,0,0,0,250,39,0,0,0,0,0,0,5573,2009
 BIODIESEL ,0,0,0,0,0,0,0,0,0,2,3,176,987,32,0,0,23,2009
 ÓLEO DIESEL ,0,2981,-28,-1704,0,0,0,162,0,55,94,5326,28307,954,0,373,683,2009
 ÓLEO COMBUSTÍVEL ,0,10,-65,-7166,0,0,0,985,0,122,87,68,0,0,0,986,3727,2009
 GASOLINA ,0,10,-62,-1940,0,0,0,0,0,0,0,0,14674,0,47,0,0,2009
 GLP ,0,1562,-10,-12,0,0,0,18,6115,135,373,23,0,0,0,0,782,2009
 NAFTA ,0,3958,153,-39,0,0,7360,0,0,0,0,0,0,0,0,0,0,2009
 QUEROSENE ,0,1044,-42,-1673,0,0,7,0,8,0,0,0,0,0,2828,0,3,2009
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,1011,2009
 COQUE DE CARVÃO MINERAL ,0,300,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5309,2009
 URÂNIO CONTIDO NO UO2,0,3707,-4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
 ELETRICIDADE,0,3504,0,-93,0,0,0,1561,8655,5674,3031,1521,0,137,0,0,16060,2009
 CARVÃO VEGETAL ,0,1,0,0,0,0,0,0,584,78,0,7,0,0,0,0,3301,2009
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2,915,-1715,0,0,751,0,0,0,0,7,11792,0,0,0,0,2009
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2869,4,-216,0,0,98,3749,0,0,0,0,0,0,0,0,6891,2009
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,968,111,-476,0,0,5844,0,0,0,0,0,0,0,0,0,0,2009
 ALCATRÃO ,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,44,2009
 PETRÓLEO ,94000,19689,-27,-22372,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 GÁS NATURAL ,21398,9986,0,0,-1925,-3526,710,4926,229,171,58,2,2158,0,0,0,8453,2008
 CARVÃO VAPOR ,2552,2635,-246,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,2008
 CARVÃO METALÚRGICO ,101,7909,-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 URÂNIO U3O8 ,3950,371,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 ENERGIA HIDRÁULICA ,31782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 LENHA ,29227,0,0,0,0,0,0,0,7706,78,0,2538,0,0,0,0,6538,2008
 PRODUTOS DA CANA ,45019,0,0,0,0,0,0,13305,0,0,0,0,0,0,0,0,15390,2008
 OUTRAS FONTES PRIMÁRIAS ,8686,0,0,0,0,0,0,0,224,34,0,0,0,0,0,0,5284,2008
 BIODIESEL ,0,0,0,0,0,0,0,0,0,1,2,137,696,24,0,0,18,2008
 ÓLEO DIESEL ,0,4943,-69,-1320,0,0,0,152,0,57,94,5538,28915,985,0,414,730,2008
 ÓLEO COMBUSTÍVEL ,0,190,46,-8418,0,0,0,980,0,122,87,68,0,0,0,1038,3981,2008
 GASOLINA ,0,0,-50,-2001,0,0,0,0,0,0,0,0,14538,0,47,0,0,2008
 GLP ,0,1337,-3,-5,0,0,0,19,6043,309,409,22,0,0,0,0,784,2008
 NAFTA ,0,3591,-18,-79,0,0,6879,0,0,0,0,0,0,0,0,0,0,2008
 QUEROSENE ,0,1230,23,-1616,0,0,8,0,9,0,0,0,0,0,2811,0,3,2008
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,1065,2008
 COQUE DE CARVÃO MINERAL ,0,1311,-224,0,0,0,0,0,0,0,0,0,0,0,0,0,6704,2008
 URÂNIO CONTIDO NO UO2,0,3548,-4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
 ELETRICIDADE,0,3689,0,-59,0,0,0,1582,8220,5375,2972,1582,0,138,0,0,16961,2008
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,531,78,0,7,0,0,0,0,5593,2008
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,558,-2705,0,0,791,0,0,0,0,6,11013,0,0,0,0,2008
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3087,-184,-279,0,0,92,3582,0,0,0,0,0,0,0,0,6561,2008
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1295,-55,-526,0,0,6048,0,0,0,0,0,0,0,0,0,0,2008
 ALCATRÃO ,0,8,-9,-7,0,0,149,0,0,0,0,0,0,0,0,0,39,2008
 PETRÓLEO ,90765,21515,-343,-21813,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 GÁS NATURAL ,18025,9094,0,0,-1774,-3146,771,3822,221,275,56,12,2252,0,0,0,8092,2007
 CARVÃO VAPOR ,2257,2620,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,2007
 CARVÃO METALÚRGICO ,92,7598,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 URÂNIO U3O8 ,3622,2505,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 ENERGIA HIDRÁULICA ,32165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 LENHA ,28618,0,0,0,0,0,0,0,7812,77,0,2356,0,0,0,0,6065,2007
 PRODUTOS DA CANA ,40458,0,0,0,0,0,0,10594,0,0,0,0,0,0,0,0,16152,2007
 OUTRAS FONTES PRIMÁRIAS ,7879,0,0,0,0,0,0,0,197,29,0,0,0,0,0,0,4972,2007
 BIODIESEL ,0,0,0,0,0,0,0,0,0,0,1,45,247,9,0,0,6,2007
 ÓLEO DIESEL ,0,4324,-29,-1530,0,0,0,132,0,55,93,5050,27477,970,0,408,718,2007
 ÓLEO COMBUSTÍVEL ,0,112,-105,-8088,0,0,0,1058,0,116,85,61,0,0,0,930,4247,2007
 GASOLINA ,0,8,68,-2854,0,0,0,0,0,0,0,0,14287,0,56,0,0,2007
 GLP ,0,1096,-39,-14,0,0,0,53,5896,302,422,19,0,0,0,0,740,2007
 NAFTA ,0,3693,115,-20,0,0,7793,0,0,0,0,0,0,0,0,0,0,2007
 QUEROSENE ,0,733,-6,-1403,0,0,11,0,9,0,0,0,0,0,2618,0,4,2007
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,1039,2007
 COQUE DE CARVÃO MINERAL ,0,1088,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,6716,2007
 URÂNIO CONTIDO NO UO2,0,992,-3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
 ELETRICIDADE,0,3514,0,-175,0,0,0,1485,7816,5034,2900,1508,0,135,0,0,16565,2007
 CARVÃO VEGETAL ,0,9,0,0,0,0,0,0,517,73,0,7,0,0,0,0,5649,2007
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2,-745,-1864,0,0,355,0,0,0,0,5,8612,0,0,0,0,2007
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2734,22,-182,0,0,141,3557,0,0,0,0,0,0,0,0,6743,2007
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1108,71,-700,0,0,4948,0,0,0,0,0,0,0,0,0,0,2007
 ALCATRÃO ,0,0,-3,-4,0,0,147,0,0,0,0,0,0,0,0,0,56,2007
 PETRÓLEO ,89214,17285,708,-19008,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 GÁS NATURAL ,17582,8614,0,0,-1651,-2829,760,3500,207,266,55,4,2030,0,0,0,7563,2006
 CARVÃO VAPOR ,2200,2438,245,0,0,0,0,0,0,0,0,0,0,0,0,0,2769,2006
 CARVÃO METALÚRGICO ,87,6749,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 URÂNIO U3O8 ,2338,1985,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 ENERGIA HIDRÁULICA ,29997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 LENHA ,28482,0,0,0,0,0,0,13,8276,74,0,2244,0,0,0,0,5807,2006
 PRODUTOS DA CANA ,35133,0,0,0,0,0,0,8949,0,0,0,0,0,0,0,0,15259,2006
 OUTRAS FONTES PRIMÁRIAS ,6951,0,0,0,0,0,0,0,172,24,0,0,0,0,0,0,4639,2006
 BIODIESEL ,0,0,0,0,0,0,0,0,0,0,0,7,42,1,0,0,1,2006
 ÓLEO DIESEL ,0,3006,-259,-1134,0,0,0,93,0,54,91,4791,26157,913,0,355,666,2006
 ÓLEO COMBUSTÍVEL ,0,241,-35,-8970,0,0,0,1123,0,110,55,66,0,0,0,733,4039,2006
 GASOLINA ,0,22,79,-2080,0,0,0,0,0,0,0,0,14440,0,54,0,0,2006
 GLP ,0,969,8,-21,0,0,0,57,5710,308,410,19,0,0,0,0,695,2006
 NAFTA ,0,3495,-23,-24,0,0,7299,0,0,0,0,0,0,0,0,0,0,2006
 QUEROSENE ,0,576,-15,-1289,0,0,15,0,15,0,0,0,0,0,2381,0,5,2006
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,980,2006
 COQUE DE CARVÃO MINERAL ,0,1036,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,6137,2006
 URÂNIO CONTIDO NO UO2,0,3958,-5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
 ELETRICIDADE,0,3564,0,-24,0,0,0,1253,7380,4749,2842,1412,0,126,0,0,15774,2006
 CARVÃO VEGETAL ,0,102,0,-8,0,0,0,0,502,69,0,6,0,0,0,0,5508,2006
