razao_social,CNPJ,meta_CNPE,meta_nao_cumprida,ano
76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A,11.989.750/0001-54,138110,0,2022
ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,07.013.489/0001-85,8095,7988,2022
ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,09.201.095/0001-86,25964,0,2022
ALESAT COMBUSTÍVEIS S. A.,23.314.594/0001-00,934205,0,2022
ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI,30.474.838/0001-88,6525,0,2022
ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.,10.354.704/0006-20,6611,6589,2022
AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI,01.973.067/0008-41,36158,0,2022
ARAGUAIA DISTRIBUIDORA DE COMBUSTÍVEIS S.A,11.441.933/0001-30,69419,54542,2022
ARAPETRO DISTRIBUIDORA DE PETRÓLEO LTDA.,07.489.111/0001-52,843,0,2022
ART PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,03.933.842/0001-94,28851,0,2022
ASPEN DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,01.382.912/0001-38,3122,0,2022
ASTER PETRÓLEO LTDA.,02.377.759/0001-13,186307,29999,2022
ATEM' S DISTRIBUIDORA DE PETRÓLEO S.A.,03.987.364/0001-03,405235,0,2022
ATLANTA DISTRIBUIDORA DE PETRÓLEO LTDA.,01.595.949/0001-44,12,0,2022
ATLÂNTICA PRODUTOS DE PETRÓLEO LTDA.,05.552.292/0001-99,111652,0,2022
BIOPETRO DISTRIBUIDORA DE COMBUSTIVEIS,21.873.748/0001-79,9958,0,2022
BIOPETRÓLEO DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,13.485.658/0001-82,117708,9647,2022
BIOSTRATUM DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,11.920.216/0001-91,206,0,2022
BRASPETRO DISTRIBUIDORA DE PETROLEO LTDA.,26.723.599/0001-85,8050,0,2022
BV DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,30.630.087/0001-41,11780,0,2022
CENTRO OESTE BRASIL PETRÓLEO LTDA.,07.115.453/0001-02,12739,0,2022
CIAPETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,01.466.091/0021-61,490334,59448,2022
COMÉRCIO DE DERIVADOS DE PETRÓLEO ISABELLA LTDA.,01.560.835/0001-69,1292,0,2022
COPERCANA DISTRIBUIDORA DE COMBUSTIVEIS LTDA,10.204.914/0001-28,73132,0,2022
CRUZ DE MALTA DISTRIBUIDORA DE PETRÓLEO LTDA.,07.723.581/0001-39,7024,0,2022
D`MAIS DISTRIBUIDORA DE PETRÓLEO LTDA.,03.565.937/0001-00,57423,0,2022
DANPETRO DISTRIBUIDORA DE PETRÓLEO S.A.,05.315.244/0001-87,42881,0,2022
DIBRAPE DISTRIBUIDORA BRASILEIRA DE PETRÓLEO LTDA.,86.910.148/0001-89,113872,0,2022
DIRECIONAL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.,06.536.758/0001-25,8632,0,2022
DISLUB COMBUSTÍVEIS S/A,41.080.722/0002-61,175614,0,2022
DISTRIBUIDORA DE COMBUSTIVEIS MASUT LTDA,02.368.373/0001-45,25861,0,2022
DISTRIBUIDORA DE COMBUSTÍVEIS SAARA S.A.,97.471.676/0001-03,16937,0,2022
DISTRIBUIDORA DE COMBUSTÍVEL TORRÃO LTDA.,01.902.563/0001-38,63122,0,2022
DISTRIBUIDORA DE PRODUTOS DE PETRÓLEO CHARRUA LTDA,01.317.309/0001-72,132952,0,2022
DISTRIBUIDORA EQUADOR DE PRODUTOS DE PETRÓLEO LTDA.,03.128.979/0007-61,334865,0,2022
DISTRIBUIDORA MONTEPETRO DE PETRÓLEO LTDA.,01.911.853/0001-48,8299,0,2022
DISTRIBUIDORA RIO BRANCO DE PETRÓLEO LTDA.,01.256.137/0001-74,186523,20388,2022
DISTRIBUIDORA SUL DE PETRÓLEO LTDA.,02.494.950/0001-45,28181,0,2022
DISTRIBUIDORA TABOCÃO LTDA.,02.284.585/0001-44,55042,36427,2022
DUVALE DISTRIBUIDORA DE PETRÓLEO E ÁLCOOL LTDA.,58.823.121/0001-13,39735,0,2022
ECO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,13.569.712/0001-78,1909,14926,2022
ECO DISTRIBUIDORA DE PETRÓLEO S/A,08.543.600/0001-08,2651,0,2022
ECOLÓGICA DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,02.798.067/0001-49,276,1,2022
ECOMAT - ECOLÓGICA MATO GROSSO INDÚSTRIA E COMÉRCIO LTDA.,03.851.841/0001-09,3940,0,2022
ESTRADA DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.,01.804.345/0001-60,99185,0,2022
EVEREST DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA,10.383.235/0001-63,13,0,2022
FAN - DISTRIBUIDORA DE PETRÓLEO LTDA.,05.380.369/0001-90,82261,0,2022
FEDERAL ENERGIA S/A,02.909.530/0003-44,159986,14820,2022
FERA LUBRIFICANTES LTDA.,69.209.575/0003-87,287807,0,2022
FGC DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,06.537.572/0001-90,45107,0,2022
FLAG DISTRIBUIDORA DE PETRÓLEO LTDA.,04.117.163/0002-90,2259,0,2022
FLEX DISTRIBUIDORA DE PETRÓLEO LTDA.,10.918.655/0001-05,18554,1889,2022
FLEXPETRO DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO S.A.,08.892.436/0001-44,72328,0,2022
FLORIDA DISTRIBUIDORA DE PETRÓLEO LTDA.,03.652.783/0001-86,4341,6036,2022
GAZ PRIME DISTRIBUIDORA DE COMBUSTIVEIS LTDA,37.779.606/0001-87,15,0,2022
GOL COMBUSTÍVEIS S.A,06.983.874/0001-92,7887,0,2022
GP DISTRIBUIDORA DE COMBUSTÍVEIS S/A.,03.609.381/0001-07,165335,19425,2022
GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,07.135.653/0001-27,1624,0,2022
GREEN DISTRIBUIDORA DE PETRÓLEO LTDA,11.898.169/0001-27,18325,1479,2022
HORA DISTRIBUIDORA DE PETRÓLEO LTDA.,02.299.645/0001-00,91446,10360,2022
IDAZA DISTRIBUIDORA DE PETRÓLEO LTDA,01.787.793/0001-01,127099,0,2022
IMPERIAL DISTRIBUIDORA DE PETRÓLEO LTDA.,06.240.179/0001-30,97240,0,2022
IPIRANGA PRODUTOS DE PETRÓLEO S.A,33.337.122/0001-27,6745305,0,2022
J.R DISTRIBUIDORA DE PETRÓLEO LTDA,22.355.152/0001-40,105,0,2022
JACAR DISTRIBUIDORA DE PETRÓLEO LTDA.,02.293.021/0001-78,3,0,2022
JOAPI DISTRIBUIDORA DE COMBUSTÍVEIS S.A.,00.401.560/0001-58,338,1200,2022
LARCO COMERCIAL DE PRODUTOS DE PETRÓLEO LTDA.,02.805.889/0001-00,518606,0,2022
LIDERPETRO DISTRIBUIDORA DE PETRÓLEO LTDA,01.083.568/0001-86,12788,0,2022
MANGUINHOS DISTRIBUIDORA S. A.,33.461.567/0001-14,145,0,2022
MAR AZUL DISTRIBUIDORA DE COMBUSTIVEIS LTDA,02.275.017/0001-87,10909,0,2022
MAX DISTRIBUIDORA DE PETRÓLEO LTDA.,09.596.665/0001-84,47893,0,2022
MAXSUL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,00.326.969/0001-57,86183,0,2022
MAXXI DISTRIBUIDORA DE PETRÓLEO LTDA.,13.210.610/0001-61,11041,0,2022
MEG DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,26.574.808/0002-57,8358,0,2022
MIDAS DISTRIBUIDORA DE COMBUSTIVEIS LTDA.,19.700.983/0001-05,6334,0,2022
MONTE CABRAL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,04.138.529/0001-27,307,0,2022
NOROESTE DISTIBUIDORA DE COMBUSTÍVEIS LTDA.,01.966.325/0002-77,9603,12208,2022
ON PETRO - DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,09.250.921/0001-87,117669,0,2022
PARANAPANEMA DISTRIBUIDORA DE COMBUSTIVEIS EIRELI,05.411.176/0001-50,8345,0,2022
PELIKANO DISTRIBUIDORA DE PETRÓLEO LTDA,00.828.887/0001-00,14827,0,2022
PETRO NORTE DISTRIBUIDORA DE PETROLEO LTDA,34.226.839/0001-64,7194,0,2022
PETROALCOOL DISTRIBUIDORA DE PETRÓLEO LTDA.,85.491.074/0001-20,7857,0,2022
PETROBAHIA S/A,01.125.282/0001-16,276101,20944,2022
PETROBALL DISTRIBUIDORA DE PETRÓLEO LTDA.,02.431.337/0001-89,79791,16494,2022
PETROEXPRESS DISTRIBUIDORA DE COMBUSTÍVEIS E DERIVADOS DE PETRÓLEO LTDA.,02.924.588/0001-03,30301,0,2022
PETROGOIÁS DISTRIBUIDORA DE PETRÓLEO LTDA.,05.470.445/0001-59,1843,12278,2022
PETRÓLEO SABBÁ S.A.,04.169.215/0001-91,980041,0,2022
PETROLUZ DISTRIBUIDORA LTDA.,03.016.811/0001-79,26426,0,2022
PETRONAC DISTRIBUIDORA NACIONAL DE DERIVADOS DE PETRÓLEO E ALCOOL LTDA,02.123.223/0001-71,42398,6426,2022
PETROQUALITY DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,07.243.624/0001-89,440,0,2022
PETROSALVADOR DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,11.361.333/0001-62,965,0,2022
PETROSERRA DISTRIBUIDORA DE PETRÓLEO LTDA,01.557.353/0010-40,67188,0,2022
PETROSUL DISTRIBUIDORA TRANSPORTADORA E COMÉRCIO DE COMBUSTÍVEIS LTDA,00.175.884/0001-15,653,0,2022
PETROWORLD COMBUSTÍVEIS S/A.,08.944.957/0003-60,448,0,2022
PETROX DISTRIBUIDORA LTDA.,05.482.271/0001-44,196635,0,2022
PETROZIL JC DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,24.052.844/0001-44,13761,6025,2022
PHOENIX DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,09.158.456/0001-59,286,0,2022
PODIUM DISTRIBUIDORA DE PETRÓLEO LTDA.,07.253.302/0001-10,14392,13136,2022
PONTUAL BRASIL PETRÓLEO LTDA,02.886.685/0001-40,71068,0,2022
POTENCIAL PETRÓLEO LTDA,80.795.727/0001-41,328297,0,2022
RAIZEN MIME COMBUSTIVEIS S/A.,01.799.935/0001-42,396739,0,2022
RAIZEN S.A.,33.453.598/0001-23,6925769,0,2022
RAVATO DISTRIBUIDORA DE COMBUSTIVEIS LTDA.,16.978.251/0001-85,5309,0,2022
REALCOOL DISTRIBUIDORA DE PETROLEO LTDA.,11.428.668/0003-12,23008,0,2022
REDE SOL FUEL DISTRIBUIDORA S/A.,02.913.444/0015-49,46512,0,2022
REDEPETRO DISTRIBUIDORA DE PETRÓLEO LTDA.,03.980.754/0003-05,35932,0,2022
REJAILE DISTRIBUIDORA DE PETRÓLEO LTDA,00.209.895/0001-79,161493,19402,2022
RM PETRÓLEO LTDA,04.414.127/0001-08,56343,0,2022
RODOIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,07.520.438/0001-40,362310,0,2022
RODOPETRO DISTRIBUIDORA DE PETRÓLEO LTDA.,05.068.412/0001-87,4531,0,2022
ROYAL FIC DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO S/A,01.349.764/0001-50,414391,188045,2022
RUFF CJ DISTRIBUIDORA DE PETRÓLEO LTDA,00.756.149/0008-71,136076,0,2022
RUMOS DISTRIBUIDORA DE PETRÓLEO LTDA.,10.767.247/0001-91,97420,0,2022
RZD DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.,09.056.321/0001-82,18776,0,2022
SADA COMBUSTÍVEIS LTDA,08.768.527/0001-72,6809,0,2022
SETTA COMBUSTÍVEIS S/A.,55.483.564/0007-00,109639,11527,2022
SIM DISTRIBUIDORA DE COMBUSTIVEIS LTDA,07.857.168/0001-67,259407,19135,2022
SIMARELLI DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.,00.942.246/0001-82,60688,0,2022
SMALL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.,02.044.526/0001-07,96069,0,2022
SOLL DISTRIBUIDORA DE PETRÓLEO LTDA,01.683.557/0001-37,8072,12897,2022
SP INDÚSTRIA E DISTRIBUIDORA DE PETRÓLEO LTDA,01.387.400/0001-64,266872,0,2022
SR BRASIL PETRÓLEO LTDA.,05.673.133/0001-42,28309,0,2022
STANG DISTRIBUIDORA DE PETRÓLEO LTDA.,11.325.330/0001-73,140713,0,2022
STOCK DISTRIBUIDORA DE PETRÓLEO LTDA,14.546.191/0001-04,34830,0,2022
SUL COMBUSTÍVEIS LTDA.,06.278.750/0001-06,108389,0,2022
TAG DISTRIBUIDORA DE COMBUSTÍVEIS S/A.,09.565.834/0001-19,19466,0,2022
TAURUS DISTRIBUIDORA DE PETRÓLEO LTDA,01.452.651/0001-85,233955,24086,2022
TDC DISTRIBUIDORA DE COMBUSTÍVEIS S/A.,01.241.994/0003-62,363756,55324,2022
TEMAPE - TERMINAIS MARÍTIMOS DE PERNAMBUCO LTDA.,02.639.582/0001-86,161534,0,2022
TERRA BRASIL DISTRIBUIDORA DE PETRÓLEO LTDA,10.806.429/0001-24,3,0,2022
TOBRAS DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.,05.759.383/0018-48,234965,0,2022
TOTALENERGIES DISTRIBUIDORA BRASIL LTDA,71.770.689/0001-81,229243,0,2022
TOWER BRASIL PETRÓLEO LTDA.,68.110.501/0001-64,24971,0,2022
TRANSO COMBUSTÍVEIS LTDA,01.136.600/0001-44,9322,0,2022
TRIANGULO DISTRIBUIDORA DE PETRÓLEO LTDA,01.561.464/0001-30,62615,6951,2022
UNI COMBUSTÍVEIS LTDA,76.994.177/0001-12,12766,0,2022
VAISHIA DISTRIBUIDORA E TRANSPORTADORA DE COMBUSTIVEIS EIRELI,19.924.948/0001-61,9369,0,2022
VIBRA ENERGIA S.A,34.274.233/0001-02,9710510,0,2022
WALENDOWSKY DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,01.602.498/0001-25,21970,0,2022
WATT DISTRIBUIDORA BRASILEIRA DE COMBUSTÍVEIS E DERIVADOS DE PETRÓLEO LTDA,03.908.643/0001-26,47371,25451,2022
YPETRO DISTRIBUIDORA DE COMBUSTIVEIS S.A.,11.775.945/0001-00,14682,0,2022
